ds,yhat,yhat_lower,yhat_upper
2025-01-01,1355.5229130731816,1279.7407600722963,1435.791005043
2025-01-02,1359.0744762200575,1280.396887516102,1444.4321790436065
2025-01-03,1362.769610036047,1282.135811978086,1447.1775391131143
2025-01-04,1387.257061676383,1301.5086741548548,1466.6347741816214
2025-01-05,1381.1300628774277,1301.4152494816756,1460.0917871374534
2025-01-06,1376.4642603849752,1295.7372805895263,1455.2820094031579
2025-01-07,1381.2729506354608,1298.6349631078263,1463.5119204658529
2025-01-08,1386.614223317402,1307.2395163807676,1465.8989558379349
2025-01-09,1388.4986944573593,1309.8786648481337,1465.9646634880073
2025-01-10,1390.0321297487387,1313.405494014728,1471.2331954642448
2025-01-11,1411.911476670247,1328.9641316679104,1496.0999369436217
2025-01-12,1402.7888636988057,1328.1887791671784,1483.4157330964363
2025-01-13,1394.8081118847686,1315.4838900271104,1470.380387813356
2025-01-14,1396.0583097818999,1319.9834708424278,1483.8791467383437
2025-01-15,1397.6790987499246,1315.220856377359,1480.0108907699694
2025-01-16,1395.7663970040896,1319.1305092247605,1472.788773612636
2025-01-17,1393.5129149338034,1309.455981533305,1473.286983591661
2025-01-18,1411.7020347276484,1328.8855786542506,1487.2869723411459
2025-01-19,1399.0696683345316,1322.4827884158415,1485.0738874969127
2025-01-20,1387.83869449334,1308.6071136663509,1470.3783973065633
2025-01-21,1386.1705795457854,1305.0178874179767,1465.3765984091442
2025-01-22,1385.2688795914717,1307.4009350321126,1461.5020217559634
2025-01-23,1381.283398368255,1300.2721329909084,1468.5289664600562
2025-01-24,1377.4493936321462,1300.5998403026651,1462.2239803339235
2025-01-25,1394.580438495162,1312.4126567041235,1470.9568004727546
2025-01-26,1381.429577462947,1294.8029605938045,1460.5699141852647
2025-01-27,1370.22339522967,1292.314022685637,1454.3362251473295
2025-01-28,1369.1136114434535,1293.2579811013904,1454.2428236864503
2025-01-29,1369.2808984656906,1283.892319130468,1449.1002894863086
2025-01-30,1366.83968698201,1284.0164562332004,1441.25696990469
